user id,product id,Interaction type,Time stamp,user id ,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Year Month,YearMonth,Segment_x,Segment_y,Segment
1.0,4c69b61db1fc16e7013b43fc926e502d,purchase,2023-10-10 08:00:00.000000,1.0,1,55.0,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14.0,Venmo,Fortnightly,2023-10,2023-10,Medium,Medium,Medium
2.0,66d49bbed043f5be260fa9f7fbff5957,view,2023-11-10 08:00:00.000000,2.0,2,19.0,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2.0,Cash,Fortnightly,2023-11,2023-11,Medium,Medium,Medium
3.0,2c55cae269aebf53838484b0d7dd931a,like,2023-12-10 08:00:00.000000,3.0,3,50.0,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23.0,Credit Card,Weekly,2023-12,2023-12,Medium,Medium,Medium
23.0,89a993dbc079cc3fbe9088c8170b6f99,like,2023-01-11 08:00:00.000000,23.0,23,56.0,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32.0,Debit Card,Annually,2023-01,2023-01,Low,Low,Low
24.0,84fb43b933850dc05e57a162c5ba1702,view,2023-02-11 08:00:00.000000,24.0,24,31.0,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40.0,Credit Card,Weekly,2023-02,2023-02,High,High,High
25.0,af983053a35fa2a843092369ff3b400b,like,2023-03-11 08:00:00.000000,25.0,25,18.0,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16.0,Debit Card,Weekly,2023-03,2023-03,Low,Low,Low
26.0,6d38858169064c8b7069a19c90dd0ae4,like,2023-04-11 08:00:00.000000,26.0,26,18.0,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14.0,PayPal,Annually,2023-04,2023-04,Low,Low,Low
27.0,326ebcfaa8d5204b634b5648e88e2fe4,purchase,2023-05-11 08:00:00.000000,27.0,27,38.0,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13.0,Credit Card,Annually,2023-05,2023-05,Low,Low,Low
28.0,a11d9462309527143094a0f68bce0a58,view,2023-06-11 08:00:00.000000,28.0,28,56.0,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7.0,Bank Transfer,Every 3 Months,2023-06,2023-06,Medium,Medium,Medium
29.0,fdd8daf07ddd4a23832f3da7d209252f,like,2023-07-11 08:00:00.000000,29.0,29,54.0,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41.0,PayPal,Every 3 Months,2023-07,2023-07,High,High,High
30.0,c15e7efbe14b9bbcb8b7fe31f9818021,purchase,2023-08-11 08:00:00.000000,30.0,30,31.0,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14.0,Credit Card,Weekly,2023-08,2023-08,Medium,Medium,Medium
